,排名,片名,评分,评价人数,制片国家,类型,上映日期,时长,影片链接
91,No.92,致命ID,8.9,819390,美国,"剧情,悬疑,惊悚",2003-04-25(美国),90分钟,https://movie.douban.com/subject/1297192/
92,No.93,杀人回忆,8.9,709680,韩国,"剧情,动作,悬疑,惊悚,犯罪",2003-05-02(韩国),132分钟,https://movie.douban.com/subject/1300299/
93,No.94,七宗罪,8.8,937738,美国,"剧情,悬疑,惊悚,犯罪",1995-09-22(美国),127分钟,https://movie.douban.com/subject/1292223/
94,No.95,红辣椒,9.1,460393,日本,"科幻,动画,悬疑,惊悚","2006-09-02(威尼斯电影节),2006-11-25(日本)",90 分钟,https://movie.douban.com/subject/1865703/
95,No.96,加勒比海盗,8.8,852590,美国,"动作,奇幻,冒险","2003-11-21(中国大陆),2003-07-09(美国)",143 分钟,https://movie.douban.com/subject/1298070/
96,No.97,哈利·波特与密室,8.9,749979,"英国,美国","奇幻,冒险","2003-01-24(中国大陆),2002-11-15(英国/美国)",161分钟,https://movie.douban.com/subject/1296996/
97,No.98,一一,9.1,390857,"中国台湾,日本","剧情,爱情,家庭","2017-07-28(中国台湾),2000-05-14(戛纳电影节),2000-12-16(日本)",173分钟,https://movie.douban.com/subject/1292434/
98,No.99,狩猎,9.1,387766,"丹麦,瑞典",剧情,"2012-05-20(戛纳电影节),2013-01-10(丹麦)",115分钟,https://movie.douban.com/subject/6985810/
99,No.100,唐伯虎点秋香,8.7,1073107,中国香港,"喜剧,爱情,古装",1993-07-01(中国香港),102 分钟,https://movie.douban.com/subject/1306249/
100,No.101,7号房的礼物,8.9,554433,韩国,"剧情,喜剧,家庭",2013-01-23(韩国),127分钟,https://movie.douban.com/subject/10777687/
101,No.102,被嫌弃的松子的一生,8.9,700627,日本,"剧情,歌舞",2006-05-27(日本),130 分钟,https://movie.douban.com/subject/1787291/
102,No.103,请以你的名字呼唤我,8.9,717638,"意大利,法国,巴西,美国","剧情,爱情,同性","2017-01-22(圣丹斯电影节),2017-11-24(美国),2018-01-25(意大利)",132分钟,https://movie.douban.com/subject/26799731/
103,No.104,断背山,8.8,703880,"美国,加拿大","剧情,爱情,同性,家庭","2005-09-02(威尼斯电影节),2006-01-06(加拿大),2006-01-13(美国)",134分钟,https://movie.douban.com/subject/1418834/
104,No.105,剪刀手爱德华,8.7,1029338,美国,"剧情,爱情,奇幻",1990-12-06(美国),105分钟,https://movie.douban.com/subject/1292370/
105,No.106,爱在黎明破晓前,8.8,678447,"美国,奥地利,瑞士","剧情,爱情",1995-01-27(美国),101分钟,https://movie.douban.com/subject/1296339/
106,No.107,入殓师,8.9,662630,日本,剧情,"2021-10-29(中国大陆),2008-08-23(蒙特利尔电影节),2008-09-13(日本)",130分钟,https://movie.douban.com/subject/2149806/
107,No.108,勇敢的心,8.9,556754,美国,"剧情,动作,传记,历史,战争","1995-05-18(西雅图电影节),1995-05-24(美国)",178分钟,https://movie.douban.com/subject/1294639/
