,排名,片名,评分,评价人数,制片国家,类型,上映日期,时长,影片链接
39,No.134,萤火之森,9,535426,日本,"剧情,爱情,动画,奇幻",2011-09-17(日本),45,https://movie.douban.com/subject/5989818/
40,No.135,怪兽电力公司,9,665258,美国,"喜剧,动画,儿童,奇幻,冒险","2001-11-02(美国),2012-12-19(美国)",92,https://movie.douban.com/subject/1291579/
41,No.136,哈利·波特与火焰杯,9,653981,"英国,美国","悬疑,奇幻,冒险","2005-11-18(中国大陆),2005-11-06(英国)",157,https://movie.douban.com/subject/1309055/
42,No.137,傲慢与偏见,9,794985,"法国,英国,美国","剧情,爱情",2005-09-16(英国),129,https://movie.douban.com/subject/1418200/
43,No.138,玩具总动员3,9,511705,美国,"喜剧,动画,奇幻,冒险","2010-06-16(中国大陆),2010-06-18(美国)",103,https://movie.douban.com/subject/1858711/
44,No.139,新世界,9,430997,韩国,"剧情,犯罪",2013-02-21(韩国),134,https://movie.douban.com/subject/10437779/
45,No.14,三傻大闹宝莱坞,9,1850818,印度,"剧情,喜剧,爱情,歌舞","2011-12-08(中国大陆),2009-12-25(印度)",171,https://movie.douban.com/subject/3793023/
46,No.140,釜山行,9,1191852,韩国,"动作,惊悚,灾难","2016-05-13(戛纳电影节),2016-07-20(韩国)",118,https://movie.douban.com/subject/25986180/
47,No.141,神偷奶爸,9,942562,"美国,法国","喜剧,动画,冒险","2010-06-20(莫斯科电影节),2010-07-09(美国)",95,https://movie.douban.com/subject/3287562/
48,No.142,被解救的姜戈,9,605157,美国,"剧情,动作,西部,冒险","2013-05-12(中国大陆),2012-12-25(美国)",163,https://movie.douban.com/subject/6307447/
49,No.143,玛丽和马克思,9,420344,"澳大利亚,美国","剧情,喜剧,动画","2009-01-15(圣丹斯电影节),2009-04-09(澳大利亚)",92,https://movie.douban.com/subject/3072124/
50,No.144,告白,9,668687,日本,"剧情,悬疑",2010-06-05(日本),106,https://movie.douban.com/subject/4268598/
51,No.145,大鱼,9,565837,美国,"剧情,家庭,奇幻,冒险","2003-12-04(纽约首映),2004-01-09(美国)",125,https://movie.douban.com/subject/1291545/
52,No.146,哪吒闹海,9,257665,中国大陆,"动画,奇幻,冒险",1979-05-19(中国大陆),65,https://movie.douban.com/subject/1307315/
53,No.147,射雕英雄传之东成西就,9,633241,中国香港,"喜剧,奇幻,武侠,古装",1993-02-05(中国香港),113,https://movie.douban.com/subject/1316510/
54,No.148,茶馆,10,143288,中国大陆,"剧情,历史",1982(中国大陆),118,https://movie.douban.com/subject/1461403/
55,No.149,喜宴,9,359630,"中国台湾,美国","剧情,喜剧,爱情,同性,家庭","1993-02(柏林电影节),1993-08-04(美国)",108,https://movie.douban.com/subject/1303037/
56,No.15,放牛班的春天,9,1304864,"法国,瑞士,德国","剧情,音乐","2004-10-16(中国大陆),2022-12-02(中国大陆重映),2004-03-17(法国)",97,https://movie.douban.com/subject/1291549/
57,No.150,头号玩家,9,1360770,美国,"动作,科幻,冒险","2018-03-30(中国大陆),2018-03-11(西南偏南电影节),2018-03-29(美国)",140,https://movie.douban.com/subject/4920389/
58,No.151,模仿游戏,9,642494,"英国,美国","剧情,同性,传记,战争","2015-07-21(中国大陆),2014-08-29(特柳赖德电影节),2014-11-14(英国),2014-12-25(美国)",114,https://movie.douban.com/subject/10463953/
59,No.152,九品芝麻官,9,673835,"中国香港,中国大陆","剧情,喜剧,古装",1994-03-31(中国香港),108,https://movie.douban.com/subject/1297518/
60,No.153,阳光姐妹淘,9,588243,韩国,"剧情,喜剧",2011-05-04(韩国),124,https://movie.douban.com/subject/4917726/
61,No.154,我是山姆,9,336129,美国,"剧情,家庭",2001-12-03(美国),132,https://movie.douban.com/subject/1306861/
62,No.155,色，戒,9,801171,"中国台湾,中国大陆,美国,中国香港","剧情,爱情,情色","2007-11-01(中国大陆),2007-09-24(中国台湾),2007-09-26(中国香港),2007-08-30(威尼斯电影节),2007-10-26(美国)",158,https://movie.douban.com/subject/1828115/
63,No.156,花样年华,9,602886,中国香港,"剧情,爱情","2000-09-29(中国香港),2000-05-20(戛纳电影节)",98,https://movie.douban.com/subject/1291557/
64,No.157,血战钢锯岭,9,779180,"澳大利亚,美国","剧情,传记,历史,战争","2016-12-08(中国大陆),2016-09-04(威尼斯电影节),2016-11-04(美国)",139,https://movie.douban.com/subject/26325320/
65,No.158,恐怖直播,9,648253,韩国,"剧情,悬疑,犯罪",2013-07-31(韩国),97,https://movie.douban.com/subject/21360417/
66,No.159,七武士,9,196755,日本,"剧情,动作,冒险",1954-04-26(日本),207,https://movie.douban.com/subject/1295399/
67,No.16,机器人总动员,9,1310028,美国,"科幻,动画,冒险",2008-06-27(美国),98,https://movie.douban.com/subject/2131459/
68,No.160,头脑特工队,9,607593,美国,"喜剧,动画,冒险","2015-10-06(中国大陆),2015-06-19(美国)",95,https://movie.douban.com/subject/10533913/
69,No.161,惊魂记,9,291364,美国,"悬疑,惊悚,恐怖","1960-06-16(纽约首映),1960-09-08(美国)",109,https://movie.douban.com/subject/1293181/
70,No.162,黑客帝国3：矩阵革命,9,444623,美国,"动作,科幻",2003-11-05(美国/中国大陆),129,https://movie.douban.com/subject/1302467/
71,No.163,你的名字。,9,1399327,日本,"剧情,爱情,动画","2016-12-02(中国大陆),2016-08-26(日本)",106,https://movie.douban.com/subject/26683290/
72,No.164,电锯惊魂,9,529200,美国,"悬疑,惊悚,恐怖","2004-01-19(圣丹斯电影节),2004-10-29(美国)",103,https://movie.douban.com/subject/1417598/
73,No.165,三块广告牌,9,816043,"英国,美国","剧情,犯罪","2018-03-02(中国大陆),2017-09-04(威尼斯电影节),2017-12-01(美国)",115,https://movie.douban.com/subject/26611804/
74,No.166,达拉斯买家俱乐部,9,450140,美国,"剧情,同性,传记","2013-09-07(多伦多电影节),2013-11-22(美国)",117,https://movie.douban.com/subject/1793929/
75,No.167,疯狂原始人,9,833987,美国,"喜剧,动画,冒险","2013-04-20(中国大陆),2013-02-15(柏林电影节),2013-03-22(美国)",98,https://movie.douban.com/subject/1907966/
76,No.168,心迷宫,9,517682,中国大陆,"剧情,悬疑,犯罪","2015-10-16(中国大陆),2014-07-21(FIRST青年影展),2014-08-28(威尼斯电影节)",110,https://movie.douban.com/subject/25917973/
77,No.169,谍影重重3,9,415596,"美国,德国,法国,英国","动作,悬疑,惊悚","2007-11-15(中国大陆),2007-08-03(美国)",115,https://movie.douban.com/subject/1578507/
78,No.17,无间道,9,1356085,中国香港,"剧情,惊悚,犯罪","2003-09-05(中国大陆),2002-12-12(中国香港)",101,https://movie.douban.com/subject/1307914/
79,No.170,上帝之城,9,300203,"巴西,法国","剧情,犯罪","2002-05-18(戛纳电影节),2002-08-30(巴西)",130,https://movie.douban.com/subject/1292208/
80,No.171,英雄本色,9,537708,中国香港,"剧情,动作,犯罪","2017-11-17(中国大陆),1986-08-02(中国香港)",95,https://movie.douban.com/subject/1297574/
81,No.172,卢旺达饭店,9,328053,"英国,南非,意大利,美国","剧情,传记,历史,战争","2004-09-11(多伦多电影节),2005-03-04(英国)",121,https://movie.douban.com/subject/1291822/
82,No.173,纵横四海,9,423193,中国香港,"剧情,喜剧,动作,犯罪",1991-02-02(中国香港),108,https://movie.douban.com/subject/1295409/
83,No.174,风之谷,9,352931,日本,"动画,奇幻,冒险","1992-05(中国大陆),1984-03-11(日本)",117,https://movie.douban.com/subject/1291585/
84,No.175,海街日记,9,445875,日本,"剧情,家庭","2015-05-14(戛纳电影节),2015-06-13(日本)",127,https://movie.douban.com/subject/25895901/
85,No.176,爱在午夜降临前,9,399431,"美国,希腊","剧情,爱情",2013-06-14(美国),109,https://movie.douban.com/subject/10808442/
86,No.177,绿里奇迹,9,327291,美国,"剧情,悬疑,犯罪,奇幻",1999-12-10(美国),189,https://movie.douban.com/subject/1300374/
87,No.178,记忆碎片,9,596987,美国,"剧情,悬疑,惊悚,犯罪","2000-09-05(威尼斯电影节),2000-10-20(英国),2001-05-25(美国)",113,https://movie.douban.com/subject/1304447/
88,No.179,岁月神偷,9,572370,"中国香港,中国大陆","剧情,家庭","2010-04-16(中国大陆),2010-03-11(中国香港),2010-02-14(柏林电影节)",117,https://movie.douban.com/subject/3792799/
89,No.18,疯狂动物城,9,1921313,美国,"喜剧,动画,冒险","2016-03-04(中国大陆/美国),2020-07-24(中国大陆重映)",109,https://movie.douban.com/subject/25662329/
90,No.180,忠犬八公物语,9,195001,日本,剧情,"2023(中国大陆),1987-08-01(日本)",107,https://movie.douban.com/subject/1959195/
91,No.181,疯狂的石头,9,815971,"中国大陆,中国香港","喜剧,犯罪","2006-06-30(中国大陆),2006-08-10(中国香港)",106,https://movie.douban.com/subject/1862151/
92,No.182,荒蛮故事,9,441435,"阿根廷,西班牙","剧情,喜剧,犯罪","2014-05-17(戛纳电影节),2014-08-21(阿根廷)",122,https://movie.douban.com/subject/24750126/
93,No.183,雨中曲,9,223627,美国,"喜剧,爱情,歌舞",1952-04-11(美国),103,https://movie.douban.com/subject/1293460/
94,No.184,小丑,9,999231,"美国,加拿大","剧情,惊悚,犯罪","2019-08-31(威尼斯电影节),2019-10-04(美国)",122,https://movie.douban.com/subject/27119724/
95,No.185,背靠背，脸对脸,10,131860,"中国大陆,中国香港",剧情,1994-09-10(多伦多电影节),148,https://movie.douban.com/subject/1307856/
96,No.186,2001太空漫游,9,325367,"英国,美国","科幻,惊悚,冒险","1968-04-02(华盛顿首映),1968-05-12(英国)",149,https://movie.douban.com/subject/1292226/
97,No.187,小偷家族,9,808789,日本,"剧情,家庭,犯罪","2018-08-03(中国大陆),2018-05-13(戛纳电影节),2018-06-08(日本)",117,https://movie.douban.com/subject/27622447/
98,No.188,爆裂鼓手,9,584396,美国,"剧情,音乐","2014-01-16(圣丹斯电影节),2014-10-10(美国)",107,https://movie.douban.com/subject/25773932/
